0 0 6380
1 6381 3598
2 9980 6845
3 16826 10126
4 26953 2194
5 29148 3685
6 32834 2346
7 35181 3718
8 38900 2960
9 41861 3750
10 45612 1645
11 47258 10117
12 57376 2164
13 59541 4974
14 64516 2440
15 66957 1537
16 68495 7935
17 76431 6758
18 83190 4461
19 87652 9580
20 97233 6395
21 103629 5744
22 109374 2890
23 112265 5687
24 117953 10399
25 128353 4320
26 132674 6116
27 138791 4646
28 143438 2299
29 145738 3442
30 149181 8875
31 158057 1828
32 159886 5734
33 165621 4052
34 169674 4054
35 173729 2633
36 176363 394
37 176758 1880
38 178639 7361
39 186001 4441
40 190443 2455
41 192899 1770
42 194670 3103
43 197774 3539
44 201314 2810
45 204125 5222
46 209348 1200
47 210549 1192
48 211742 3132
49 214875 7607
50 222483 7625
51 230109 1211
52 231321 6035
53 237357 1715
54 239073 2353
55 241427 4823
56 246251 1748
57 248000 3370
58 251371 1948
59 253320 1199
60 254520 2657
61 257178 700
62 257879 2818
63 260698 5201
64 265900 219
65 266120 1676
66 267797 2849
67 270647 4161
68 274809 1275
69 276085 1137
70 277223 1634
71 278858 1209
72 280068 1686
73 281755 850
74 282606 895
75 283502 3826
76 287329 860
77 288190 3131
78 291322 7820
79 299143 2565
80 301709 1532
81 303242 3177
82 306420 1185
83 307606 2717
84 310324 2374
85 312699 1373
86 314073 1059
87 315133 3688
88 318822 3084
89 321907 1490
90 323398 8347
91 331746 1491
92 333238 2077
93 335316 982
94 336299 1689
95 337989 1649
96 339639 940
97 340580 2448
98 343029 9614
99 352644 3964
100 356609 9142
101 365752 6906
102 372659 8595
103 381255 11215
104 392471 14531
105 407003 8701
106 415705 13019
107 428725 12191
108 440917 8423
109 449341 21114
110 470456 12105
111 482562 41952
112 524515 21840
113 546356 21868
114 568225 8921
115 577147 4337
116 581485 5465
117 586951 3024
118 589976 2769
119 592746 3753
120 596500 2146
121 598647 4026
122 602674 13052
123 615727 2532
124 618260 1938
125 620199 3633
126 623833 3870
127 627704 3886
128 631591 1921
129 633513 5439
130 638953 6857
131 645811 2533
132 648345 4596
133 652942 6953
134 659896 1526
135 661423 2491
136 663915 2689
137 666605 819
138 667425 5359
139 672785 290
140 673076 866
141 673943 3566
142 677510 5921
143 683432 1264
144 684697 1408
145 686106 3682
146 689789 4612
147 694402 2408
148 696811 2226
149 699038 3794
150 702833 4090
151 706924 964
152 707889 2959
153 710849 1170
154 712020 1810
155 713831 2029
156 715861 3141
157 719003 7143
158 726147 8580
159 734728 3988
160 738717 3994
161 742712 4643
162 747356 3933
163 751290 4660
164 755951 1187
165 757139 4246
166 761386 2738
167 764125 1746
168 765872 1108
169 766981 4070
170 771052 3890
171 774943 2912
172 777856 1320
173 779177 3185
174 782363 7698
175 790062 18958
176 809021 2227
